date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:26	39932/39932	---MCZ	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:26%20GMT	https://thenewgym.vn/wp-json/wp/v2/pages/1144	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/wp/v2/pages/1144.json	(from https://thenewgym.vn/dieu-khoan-dieu-kien/)
21:04:27	2420/2420	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:26%20GMT	https://thenewgym.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fdieu-khoan-dieu-kien%2F	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/oembed/1.0/embed0dcf.json	(from https://thenewgym.vn/dieu-khoan-dieu-kien/)
21:04:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:27%20GMT	https://thenewgym.vn/?p=1144	D:/Fresher_Training/QNSportict/thenewgym.vn/index1723.html	(from https://thenewgym.vn/dieu-khoan-dieu-kien/)
21:04:28	2643/2643	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Jun%202024%2014:06:27%20GMT	https://thenewgym.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fdieu-khoan-dieu-kien%2F&format=xml	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/oembed/1.0/embed4979	(from https://thenewgym.vn/dieu-khoan-dieu-kien/)
21:04:29	19684/19684	---MCZ	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:29%20GMT	https://thenewgym.vn/wp-json/wp/v2/pages/6526	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/wp/v2/pages/6526.json	(from https://thenewgym.vn/chinh-sach-bao-mat/)
21:04:30	4651884/4651884	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2007:57:42%20GMT	https://thenewgym.vn/wp-content/uploads/2023/04/Anh-man-hinh-2023-04-07-luc-14.57.02.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2023/04/Anh-man-hinh-2023-04-07-luc-14.57.02.png	(from https://thenewgym.vn/chinh-sach-bao-mat/)
21:04:30	2223/2223	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:29%20GMT	https://thenewgym.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fchinh-sach-bao-mat%2F	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/oembed/1.0/embedcb18.json	(from https://thenewgym.vn/chinh-sach-bao-mat/)
21:04:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:29%20GMT	https://thenewgym.vn/?p=6526	D:/Fresher_Training/QNSportict/thenewgym.vn/index5115.html	(from https://thenewgym.vn/chinh-sach-bao-mat/)
21:04:31	2393/2393	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Jun%202024%2014:06:30%20GMT	https://thenewgym.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fchinh-sach-bao-mat%2F&format=xml	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/oembed/1.0/embed8131	(from https://thenewgym.vn/chinh-sach-bao-mat/)
21:04:31	216219/216219	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Apr%202024%2002:34:37%20GMT	https://thenewgym.vn/wp-content/uploads/2024/04/Xoa-tai-khoan-3.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2024/04/Xoa-tai-khoan-3.png	(from https://thenewgym.vn/xoa-tai-khoan/)
